lexId,language,speech,nameType,lexSet,lexText,gloss,freqLex,rankLex
1440599,hbo,adjv,,gntl,חָמוּלִי,Hamulite,1,5715
1440600,hbo,adjv,,gntl,תֹּולָעִי,Tolaite,1,5715
1440601,hbo,adjv,,gntl,פּוּנִי,Puite,1,5715
1440602,hbo,nmpr,pers,,יָשׁוּב,Jashub,3,3915
1440603,hbo,adjv,,gntl,יָשֻׁבִי,Jashubite,1,5715
1440604,hbo,adjv,,gntl,שִׁמְרֹנִי,Shimronite,1,5715
1440605,hbo,adjv,,gntl,סַרְדִּי,Seredite,1,5715
1440606,hbo,adjv,,gntl,אֵלֹנִי,Elonite,1,5715
1440607,hbo,adjv,,gntl,יַחְלְאֵלִי,Jahleelite,1,5715
1440608,hbo,adjv,,gntl,זְבוּלֹנִי,Zebulunite,3,3915
1440609,hbo,adjv,,gntl,מָכִירִי,Makirite,1,5715
1440610,hbo,adjv,,gntl,גִּלְעָדִי,Gileadite,11,2114
1440611,hbo,nmpr,pers,,אִיעֶזֶר,Iezer,1,5715
1440612,hbo,adjv,,gntl,אִיעֶזְרִי,Iezerite,1,5715
1440613,hbo,nmpr,pers,,חֵלֶק,Helek,2,4540
1440614,hbo,adjv,,gntl,חֶלְקִי,Helekite,1,5715
1440615,hbo,nmpr,pers,,אַשְׂרִיאֵל,Asriel,3,3915
1440616,hbo,adjv,,gntl,אַשְׂרִיאֵלִי,Asrielite,1,5715
1440617,hbo,nmpr,pers,,שֶׁכֶם,Shechem,3,3915
1440618,hbo,adjv,,gntl,שִׁכְמִי,Shechemite,1,5715
1440619,hbo,nmpr,pers,,שְׁמִידָע,Shemida,3,3915
1440620,hbo,adjv,,gntl,שְׁמִידָעִי,Shemidaite,1,5715
1440621,hbo,nmpr,pers,,חֵפֶר,<son of Gilead>,7,2659
1440622,hbo,adjv,,gntl,חֶפְרִי,Hepherite,1,5715
1440623,hbo,nmpr,pers,,צְלָפְחָד,Zelophehad,11,2114
1440624,hbo,nmpr,pers,,מַחְלָה,Mahlah,5,3122
1440625,hbo,nmpr,pers,,נֹעָה,Noah,4,3479
1440626,hbo,nmpr,pers,,חָגְלָה,Hoglah,4,3479
1440627,hbo,nmpr,pers,,תִּרְצָה,Tirzah,4,3479
1440628,hbo,nmpr,pers,,שׁוּתֶלַח,Shuthelah,4,3479
1440629,hbo,adjv,,gntl,שֻׁתַלְחִי,Shuthelahite,1,5715
1440630,hbo,adjv,,gntl,בַּכְרִי,Bekerite,1,5715
1440631,hbo,nmpr,pers,,תַּחַן,Tahan,2,4540
1440632,hbo,adjv,,gntl,תַּחֲנִי,Tahanite,1,5715
1440633,hbo,nmpr,pers,,עֵרָן,Eran,1,5715
1440634,hbo,adjv,,gntl,עֵרָנִי,Eranite,1,5715
1440635,hbo,adjv,,gntl,בַּלְעִי,Belaite,1,5715
1440636,hbo,adjv,,gntl,אַשְׁבֵּלִי,Ashbelite,1,5715
1440637,hbo,nmpr,pers,,אֲחִירָם,Ahiram,1,5715
1440638,hbo,adjv,,gntl,אֲחִירָמִי,Ahiramite,1,5715
1440639,hbo,nmpr,pers,,שְׁפוּפָם,Shupham,1,5715
1440640,hbo,adjv,,gntl,שׁוּפָמִי,Shuphamite,1,5715
1440641,hbo,nmpr,pers,,חוּפָם,Hupham,1,5715
1440642,hbo,adjv,,gntl,חוּפָמִי,Huphamite,1,5715
1440643,hbo,adjv,,gntl,אַרְדִּי,Ardite,1,5715
1440644,hbo,adjv,,gntl,נַעֲמִי,Naamite,1,5715
1440645,hbo,nmpr,pers,,שׁוּחָם,Shuham,1,5715
1440646,hbo,adjv,,gntl,שׁוּחָמִי,Shuhamite,2,4540
1440647,hbo,adjv,,gntl,יִשְׁוִי,Ishvite,1,5715
1440648,hbo,adjv,,gntl,בְּרִיעִי,Beriite,1,5715
1440649,hbo,adjv,,gntl,חֶבְרִי,Heberite,1,5715
1440650,hbo,adjv,,gntl,מַלְכִּיאֵלִי,Malkielite,1,5715
1440651,hbo,adjv,,gntl,יַחְצְאֵלִי,Jahzeelite,1,5715
1440652,hbo,adjv,,gntl,גּוּנִי,Gunite,1,5715
1440653,hbo,adjv,,gntl,יִצְרִי,Jezerite,2,4540
1440654,hbo,adjv,,gntl,שִׁלֵּמִי,Shillemite,1,5715
1440655,hbo,adjv,,gntl,מְרָרִי,Merarite,1,5715
1440656,hbo,nmpr,topo,,עֲבָרִים,Abarim,5,3122
1440657,hbo,subs,,,הֹוד,splendour,24,1286
1440658,hbo,subs,,,אִסָּר,obligation,11,2114
1440659,hbo,verb,,,נוא,forbid,8,2471
1440660,hbo,subs,,,מִבְטָא,promise,2,4540
1440661,hbo,subs,,,מֹוצָא,issue,27,1184
1440662,hbo,subs,,,נְקָמָה,vengeance,27,1184
1440663,hbo,verb,,,מסר,assign,2,4540
1440664,hbo,nmpr,pers,,אֱוִי,Evi,2,4540
1440665,hbo,nmpr,pers,,רֶקֶם,Rekem,5,3122
1440666,hbo,nmpr,pers,,רֶבַע,Reba,2,4540
1440667,hbo,subs,,,מַלְקֹוחַ,what is taken,7,2659
1440668,hbo,subs,,,בְּדִיל,tin,5,3122
1440669,hbo,subs,,,מֶכֶס,tax,6,2866
1440670,hbo,subs,,,מֶחֱצָה,half,2,4540
1440671,hbo,subs,,,אֶצְעָדָה,bracelet,2,4540
1440672,hbo,subs,,,עָגִיל,adornment,2,4540
1440673,hbo,nmpr,topo,,עֲטָרֹות,Ataroth,4,3479
1440674,hbo,nmpr,topo,,נִמְרָה,Nimrah,1,5715
1440675,hbo,nmpr,topo,,אֶלְעָלֵה,Elealeh,5,3122
1440676,hbo,nmpr,topo,,שְׂבָם,Sebam,1,5715
1440677,hbo,nmpr,topo,,נְבֹו,<mountain>,12,2014
1440678,hbo,nmpr,topo,,בְּעֹן,Beon,1,5715
1440679,hbo,nmpr,topo,,קָדֵשׁ בַּרְנֵעַ,Kadesh Barnea,10,2230
1440680,hbo,subs,,,תַּרְבּוּת,increase,1,5715
1440681,hbo,subs,,,גְּדֵרָה,heap of stones,8,2471
1440682,hbo,verb,,,חושׁ,make haste,19,1487
1440683,hbo,subs,,,צֹנָא,<uncertain>,1,5715
1440684,hbo,subs,,,גְּבוּלָה,boundary,10,2230
1440685,hbo,nmpr,topo,,עֲרֹועֵר,Aroer,15,1762
1440686,hbo,nmpr,topo,,עַטְרֹות שֹׁופָן,Atroth Shophan,1,5715
1440687,hbo,nmpr,topo,,יָגְבֳּהָה,Jogbehah,2,4540
1440688,hbo,nmpr,topo,,בֵּית נִמְרָה,Beth Nimrah,2,4540
1440689,hbo,nmpr,topo,,בֵּית הָרָן,Beth Haran,1,5715
1440690,hbo,nmpr,topo,,בַּעַל מְעֹון,Baal Meon,3,3915
